outer_i,val_human,val_ai,test_human,test_ai,n_train,n_val,n_test,selected_load_name,selected_model,selected_model_params,selected_use_scaler,val_accuracy,val_balanced_accuracy,val_f1_macro,val_f1_weighted,test_accuracy,test_balanced_accuracy,test_f1_macro,test_f1_weighted,selection_metric,selection_val_score,selection_test_score,val_precision_macro,val_precision_weighted,val_recall_macro,val_recall_weighted,val_mcc,val_cohen_kappa,val_per_class_metrics,test_precision_macro,test_precision_weighted,test_recall_macro,test_recall_weighted,test_mcc,test_cohen_kappa,test_per_class_metrics
90,Armin,GPT4.1_V2,Hotti,GPT4.1_V3,232,110,189,seconds_ws25_st12,dummy_most_frequent,{},0,0.7454545454545455,0.5,0.4270833333333333,0.6367424242424241,0.7301587301587301,0.5,0.42201834862385323,0.6162807630697539,f1_macro,0.4270833333333333,0.42201834862385323,0.37272727272727274,0.555702479338843,0.5,0.7454545454545455,0.0,0.0,"{""ai"": {""f1-score"": 0.8541666666666666, ""precision"": 0.7454545454545455, ""recall"": 1.0, ""support"": 82.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 28.0}}",0.36507936507936506,0.5331317712270093,0.5,0.7301587301587301,0.0,0.0,"{""ai"": {""f1-score"": 0.8440366972477065, ""precision"": 0.7301587301587301, ""recall"": 1.0, ""support"": 138.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 51.0}}"
91,Marvin,GPT5,Armin,GPT4.1_V3,249,116,166,seconds_ws25_st12,dummy_most_frequent,{},0,0.7068965517241379,0.5,0.41414141414141414,0.5855102751654475,0.8313253012048193,0.5,0.45394736842105265,0.7547558655675334,f1_macro,0.41414141414141414,0.45394736842105265,0.35344827586206895,0.4997027348394768,0.5,0.7068965517241379,0.0,0.0,"{""ai"": {""f1-score"": 0.8282828282828283, ""precision"": 0.7068965517241379, ""recall"": 1.0, ""support"": 82.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 34.0}}",0.41566265060240964,0.6911017564232835,0.5,0.8313253012048193,0.0,0.0,"{""ai"": {""f1-score"": 0.9078947368421053, ""precision"": 0.8313253012048193, ""recall"": 1.0, ""support"": 138.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 28.0}}"
92,Armin,GPT4.1_V2,Nico,GPT4.1,305,110,116,seconds_ws25_st12,dummy_most_frequent,{},0,0.7454545454545455,0.5,0.4270833333333333,0.6367424242424241,0.6637931034482759,0.5,0.39896373056994816,0.5296587457566553,f1_macro,0.4270833333333333,0.39896373056994816,0.37272727272727274,0.555702479338843,0.5,0.7454545454545455,0.0,0.0,"{""ai"": {""f1-score"": 0.8541666666666666, ""precision"": 0.7454545454545455, ""recall"": 1.0, ""support"": 82.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 28.0}}",0.33189655172413796,0.4406212841854935,0.5,0.6637931034482759,0.0,0.0,"{""ai"": {""f1-score"": 0.7979274611398963, ""precision"": 0.6637931034482759, ""recall"": 1.0, ""support"": 77.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 39.0}}"
93,Hotti,GPT5,Marvin,GPT4.1_V3,226,133,172,seconds_ws25_st12,dummy_most_frequent,{},0,0.6165413533834586,0.5,0.3813953488372093,0.4702920090924987,0.8023255813953488,0.5,0.44516129032258067,0.7143285821455364,f1_macro,0.3813953488372093,0.44516129032258067,0.3082706766917293,0.3801232404319068,0.5,0.6165413533834586,0.0,0.0,"{""ai"": {""f1-score"": 0.7627906976744186, ""precision"": 0.6165413533834586, ""recall"": 1.0, ""support"": 82.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 51.0}}",0.4011627906976744,0.6437263385613845,0.5,0.8023255813953488,0.0,0.0,"{""ai"": {""f1-score"": 0.8903225806451613, ""precision"": 0.8023255813953488, ""recall"": 1.0, ""support"": 138.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 34.0}}"
94,Hotti,GPT4.1_V3,Marvin,GPT4.1_V2,226,189,116,seconds_ws25_st12,dummy_most_frequent,{},0,0.7301587301587301,0.5,0.42201834862385323,0.6162807630697539,0.7068965517241379,0.5,0.41414141414141414,0.5855102751654475,f1_macro,0.42201834862385323,0.41414141414141414,0.36507936507936506,0.5331317712270093,0.5,0.7301587301587301,0.0,0.0,"{""ai"": {""f1-score"": 0.8440366972477065, ""precision"": 0.7301587301587301, ""recall"": 1.0, ""support"": 138.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 51.0}}",0.35344827586206895,0.4997027348394768,0.5,0.7068965517241379,0.0,0.0,"{""ai"": {""f1-score"": 0.8282828282828283, ""precision"": 0.7068965517241379, ""recall"": 1.0, ""support"": 82.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 34.0}}"
95,Marvin,GPT4.1_V3,Hotti,GPT4.1,231,172,128,seconds_ws25_st12,dummy_most_frequent,{},0,0.8023255813953488,0.5,0.44516129032258067,0.7143285821455364,0.6015625,0.5,0.375609756097561,0.45190548780487805,f1_macro,0.44516129032258067,0.375609756097561,0.4011627906976744,0.6437263385613845,0.5,0.8023255813953488,0.0,0.0,"{""ai"": {""f1-score"": 0.8903225806451613, ""precision"": 0.8023255813953488, ""recall"": 1.0, ""support"": 138.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 34.0}}",0.30078125,0.36187744140625,0.5,0.6015625,0.0,0.0,"{""ai"": {""f1-score"": 0.751219512195122, ""precision"": 0.6015625, ""recall"": 1.0, ""support"": 77.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 51.0}}"
96,Armin,GPT4.1,Marvin,GPT5,310,105,116,seconds_ws25_st12,dummy_most_frequent,{},0,0.7333333333333333,0.5,0.4230769230769231,0.6205128205128204,0.7068965517241379,0.5,0.41414141414141414,0.5855102751654475,f1_macro,0.4230769230769231,0.41414141414141414,0.36666666666666664,0.5377777777777777,0.5,0.7333333333333333,0.0,0.0,"{""ai"": {""f1-score"": 0.8461538461538461, ""precision"": 0.7333333333333333, ""recall"": 1.0, ""support"": 77.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 28.0}}",0.35344827586206895,0.4997027348394768,0.5,0.7068965517241379,0.0,0.0,"{""ai"": {""f1-score"": 0.8282828282828283, ""precision"": 0.7068965517241379, ""recall"": 1.0, ""support"": 82.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 34.0}}"
97,Armin,GPT5,Nico,GPT4.1,305,110,116,seconds_ws25_st12,dummy_most_frequent,{},0,0.7454545454545455,0.5,0.4270833333333333,0.6367424242424241,0.6637931034482759,0.5,0.39896373056994816,0.5296587457566553,f1_macro,0.4270833333333333,0.39896373056994816,0.37272727272727274,0.555702479338843,0.5,0.7454545454545455,0.0,0.0,"{""ai"": {""f1-score"": 0.8541666666666666, ""precision"": 0.7454545454545455, ""recall"": 1.0, ""support"": 82.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 28.0}}",0.33189655172413796,0.4406212841854935,0.5,0.6637931034482759,0.0,0.0,"{""ai"": {""f1-score"": 0.7979274611398963, ""precision"": 0.6637931034482759, ""recall"": 1.0, ""support"": 77.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 39.0}}"
98,Marvin,GPT4.1,Hotti,GPT5,287,111,133,seconds_ws25_st12,dummy_most_frequent,{},0,0.6936936936936937,0.5,0.4095744680851064,0.5682384512171746,0.6165413533834586,0.5,0.3813953488372093,0.4702920090924987,f1_macro,0.4095744680851064,0.3813953488372093,0.34684684684684686,0.48121094067040016,0.5,0.6936936936936937,0.0,0.0,"{""ai"": {""f1-score"": 0.8191489361702128, ""precision"": 0.6936936936936937, ""recall"": 1.0, ""support"": 77.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 34.0}}",0.3082706766917293,0.3801232404319068,0.5,0.6165413533834586,0.0,0.0,"{""ai"": {""f1-score"": 0.7627906976744186, ""precision"": 0.6165413533834586, ""recall"": 1.0, ""support"": 82.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 51.0}}"
99,Hotti,GPT4.1,Nico,GPT5,282,128,121,seconds_ws25_st12,dummy_most_frequent,{},0,0.6015625,0.5,0.375609756097561,0.45190548780487805,0.6776859504132231,0.5,0.4039408866995074,0.5474901274274315,f1_macro,0.375609756097561,0.4039408866995074,0.30078125,0.36187744140625,0.5,0.6015625,0.0,0.0,"{""ai"": {""f1-score"": 0.751219512195122, ""precision"": 0.6015625, ""recall"": 1.0, ""support"": 77.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 51.0}}",0.33884297520661155,0.4592582473874735,0.5,0.6776859504132231,0.0,0.0,"{""ai"": {""f1-score"": 0.8078817733990148, ""precision"": 0.6776859504132231, ""recall"": 1.0, ""support"": 82.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 39.0}}"
100,Hotti,GPT4.1_V2,Armin,GPT4.1,293,133,105,seconds_ws25_st12,dummy_most_frequent,{},0,0.6165413533834586,0.5,0.3813953488372093,0.4702920090924987,0.7333333333333333,0.5,0.4230769230769231,0.6205128205128204,f1_macro,0.3813953488372093,0.4230769230769231,0.3082706766917293,0.3801232404319068,0.5,0.6165413533834586,0.0,0.0,"{""ai"": {""f1-score"": 0.7627906976744186, ""precision"": 0.6165413533834586, ""recall"": 1.0, ""support"": 82.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 51.0}}",0.36666666666666664,0.5377777777777777,0.5,0.7333333333333333,0.0,0.0,"{""ai"": {""f1-score"": 0.8461538461538461, ""precision"": 0.7333333333333333, ""recall"": 1.0, ""support"": 77.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 28.0}}"
101,Armin,GPT4.1_V2,Marvin,GPT4.1,310,110,111,seconds_ws25_st12,dummy_most_frequent,{},0,0.7454545454545455,0.5,0.4270833333333333,0.6367424242424241,0.6936936936936937,0.5,0.4095744680851064,0.5682384512171746,f1_macro,0.4270833333333333,0.4095744680851064,0.37272727272727274,0.555702479338843,0.5,0.7454545454545455,0.0,0.0,"{""ai"": {""f1-score"": 0.8541666666666666, ""precision"": 0.7454545454545455, ""recall"": 1.0, ""support"": 82.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 28.0}}",0.34684684684684686,0.48121094067040016,0.5,0.6936936936936937,0.0,0.0,"{""ai"": {""f1-score"": 0.8191489361702128, ""precision"": 0.6936936936936937, ""recall"": 1.0, ""support"": 77.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 34.0}}"
102,Hotti,GPT4.1_V2,Marvin,GPT4.1,287,133,111,seconds_ws25_st12,dummy_most_frequent,{},0,0.6165413533834586,0.5,0.3813953488372093,0.4702920090924987,0.6936936936936937,0.5,0.4095744680851064,0.5682384512171746,f1_macro,0.3813953488372093,0.4095744680851064,0.3082706766917293,0.3801232404319068,0.5,0.6165413533834586,0.0,0.0,"{""ai"": {""f1-score"": 0.7627906976744186, ""precision"": 0.6165413533834586, ""recall"": 1.0, ""support"": 82.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 51.0}}",0.34684684684684686,0.48121094067040016,0.5,0.6936936936936937,0.0,0.0,"{""ai"": {""f1-score"": 0.8191489361702128, ""precision"": 0.6936936936936937, ""recall"": 1.0, ""support"": 77.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 34.0}}"
103,Armin,GPT4.1_V2,Hotti,GPT5,288,110,133,seconds_ws25_st12,dummy_most_frequent,{},0,0.7454545454545455,0.5,0.4270833333333333,0.6367424242424241,0.6165413533834586,0.5,0.3813953488372093,0.4702920090924987,f1_macro,0.4270833333333333,0.3813953488372093,0.37272727272727274,0.555702479338843,0.5,0.7454545454545455,0.0,0.0,"{""ai"": {""f1-score"": 0.8541666666666666, ""precision"": 0.7454545454545455, ""recall"": 1.0, ""support"": 82.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 28.0}}",0.3082706766917293,0.3801232404319068,0.5,0.6165413533834586,0.0,0.0,"{""ai"": {""f1-score"": 0.7627906976744186, ""precision"": 0.6165413533834586, ""recall"": 1.0, ""support"": 82.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 51.0}}"
104,Armin,GPT4.1_V2,Marvin,GPT4.1_V3,249,110,172,seconds_ws25_st12,dummy_most_frequent,{},0,0.7454545454545455,0.5,0.4270833333333333,0.6367424242424241,0.8023255813953488,0.5,0.44516129032258067,0.7143285821455364,f1_macro,0.4270833333333333,0.44516129032258067,0.37272727272727274,0.555702479338843,0.5,0.7454545454545455,0.0,0.0,"{""ai"": {""f1-score"": 0.8541666666666666, ""precision"": 0.7454545454545455, ""recall"": 1.0, ""support"": 82.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 28.0}}",0.4011627906976744,0.6437263385613845,0.5,0.8023255813953488,0.0,0.0,"{""ai"": {""f1-score"": 0.8903225806451613, ""precision"": 0.8023255813953488, ""recall"": 1.0, ""support"": 138.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 34.0}}"
105,Nico,GPT4.1,Armin,GPT4.1_V3,249,116,166,seconds_ws25_st12,dummy_most_frequent,{},0,0.6637931034482759,0.5,0.39896373056994816,0.5296587457566553,0.8313253012048193,0.5,0.45394736842105265,0.7547558655675334,f1_macro,0.39896373056994816,0.45394736842105265,0.33189655172413796,0.4406212841854935,0.5,0.6637931034482759,0.0,0.0,"{""ai"": {""f1-score"": 0.7979274611398963, ""precision"": 0.6637931034482759, ""recall"": 1.0, ""support"": 77.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 39.0}}",0.41566265060240964,0.6911017564232835,0.5,0.8313253012048193,0.0,0.0,"{""ai"": {""f1-score"": 0.9078947368421053, ""precision"": 0.8313253012048193, ""recall"": 1.0, ""support"": 138.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 28.0}}"
106,Nico,GPT4.1,Marvin,GPT4.1_V2,299,116,116,seconds_ws25_st12,dummy_most_frequent,{},0,0.6637931034482759,0.5,0.39896373056994816,0.5296587457566553,0.7068965517241379,0.5,0.41414141414141414,0.5855102751654475,f1_macro,0.39896373056994816,0.41414141414141414,0.33189655172413796,0.4406212841854935,0.5,0.6637931034482759,0.0,0.0,"{""ai"": {""f1-score"": 0.7979274611398963, ""precision"": 0.6637931034482759, ""recall"": 1.0, ""support"": 77.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 39.0}}",0.35344827586206895,0.4997027348394768,0.5,0.7068965517241379,0.0,0.0,"{""ai"": {""f1-score"": 0.8282828282828283, ""precision"": 0.7068965517241379, ""recall"": 1.0, ""support"": 82.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 34.0}}"
107,Armin,GPT5,Hotti,GPT4.1,293,110,128,seconds_ws25_st12,dummy_most_frequent,{},0,0.7454545454545455,0.5,0.4270833333333333,0.6367424242424241,0.6015625,0.5,0.375609756097561,0.45190548780487805,f1_macro,0.4270833333333333,0.375609756097561,0.37272727272727274,0.555702479338843,0.5,0.7454545454545455,0.0,0.0,"{""ai"": {""f1-score"": 0.8541666666666666, ""precision"": 0.7454545454545455, ""recall"": 1.0, ""support"": 82.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 28.0}}",0.30078125,0.36187744140625,0.5,0.6015625,0.0,0.0,"{""ai"": {""f1-score"": 0.751219512195122, ""precision"": 0.6015625, ""recall"": 1.0, ""support"": 77.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 51.0}}"
108,Armin,GPT4.1_V3,Hotti,GPT4.1_V2,232,166,133,seconds_ws25_st12,dummy_most_frequent,{},0,0.8313253012048193,0.5,0.45394736842105265,0.7547558655675334,0.6165413533834586,0.5,0.3813953488372093,0.4702920090924987,f1_macro,0.45394736842105265,0.3813953488372093,0.41566265060240964,0.6911017564232835,0.5,0.8313253012048193,0.0,0.0,"{""ai"": {""f1-score"": 0.9078947368421053, ""precision"": 0.8313253012048193, ""recall"": 1.0, ""support"": 138.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 28.0}}",0.3082706766917293,0.3801232404319068,0.5,0.6165413533834586,0.0,0.0,"{""ai"": {""f1-score"": 0.7627906976744186, ""precision"": 0.6165413533834586, ""recall"": 1.0, ""support"": 82.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 51.0}}"
109,Nico,GPT4.1_V2,Armin,GPT4.1_V3,244,121,166,seconds_ws25_st12,dummy_most_frequent,{},0,0.6776859504132231,0.5,0.4039408866995074,0.5474901274274315,0.8313253012048193,0.5,0.45394736842105265,0.7547558655675334,f1_macro,0.4039408866995074,0.45394736842105265,0.33884297520661155,0.4592582473874735,0.5,0.6776859504132231,0.0,0.0,"{""ai"": {""f1-score"": 0.8078817733990148, ""precision"": 0.6776859504132231, ""recall"": 1.0, ""support"": 82.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 39.0}}",0.41566265060240964,0.6911017564232835,0.5,0.8313253012048193,0.0,0.0,"{""ai"": {""f1-score"": 0.9078947368421053, ""precision"": 0.8313253012048193, ""recall"": 1.0, ""support"": 138.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 28.0}}"
110,Hotti,GPT4.1,Nico,GPT4.1_V3,226,128,177,seconds_ws25_st12,dummy_most_frequent,{},0,0.6015625,0.5,0.375609756097561,0.45190548780487805,0.7796610169491526,0.5,0.4380952380952381,0.6831315577078289,f1_macro,0.375609756097561,0.4380952380952381,0.30078125,0.36187744140625,0.5,0.6015625,0.0,0.0,"{""ai"": {""f1-score"": 0.751219512195122, ""precision"": 0.6015625, ""recall"": 1.0, ""support"": 77.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 51.0}}",0.3898305084745763,0.6078713013501867,0.5,0.7796610169491526,0.0,0.0,"{""ai"": {""f1-score"": 0.8761904761904762, ""precision"": 0.7796610169491526, ""recall"": 1.0, ""support"": 138.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 39.0}}"
111,Hotti,GPT4.1_V3,Armin,GPT4.1,237,189,105,seconds_ws25_st12,dummy_most_frequent,{},0,0.7301587301587301,0.5,0.42201834862385323,0.6162807630697539,0.7333333333333333,0.5,0.4230769230769231,0.6205128205128204,f1_macro,0.42201834862385323,0.4230769230769231,0.36507936507936506,0.5331317712270093,0.5,0.7301587301587301,0.0,0.0,"{""ai"": {""f1-score"": 0.8440366972477065, ""precision"": 0.7301587301587301, ""recall"": 1.0, ""support"": 138.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 51.0}}",0.36666666666666664,0.5377777777777777,0.5,0.7333333333333333,0.0,0.0,"{""ai"": {""f1-score"": 0.8461538461538461, ""precision"": 0.7333333333333333, ""recall"": 1.0, ""support"": 77.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 28.0}}"
112,Nico,GPT4.1_V2,Marvin,GPT4.1_V3,238,121,172,seconds_ws25_st12,dummy_most_frequent,{},0,0.6776859504132231,0.5,0.4039408866995074,0.5474901274274315,0.8023255813953488,0.5,0.44516129032258067,0.7143285821455364,f1_macro,0.4039408866995074,0.44516129032258067,0.33884297520661155,0.4592582473874735,0.5,0.6776859504132231,0.0,0.0,"{""ai"": {""f1-score"": 0.8078817733990148, ""precision"": 0.6776859504132231, ""recall"": 1.0, ""support"": 82.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 39.0}}",0.4011627906976744,0.6437263385613845,0.5,0.8023255813953488,0.0,0.0,"{""ai"": {""f1-score"": 0.8903225806451613, ""precision"": 0.8023255813953488, ""recall"": 1.0, ""support"": 138.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 34.0}}"
113,Armin,GPT4.1_V3,Hotti,GPT5,232,166,133,seconds_ws25_st12,dummy_most_frequent,{},0,0.8313253012048193,0.5,0.45394736842105265,0.7547558655675334,0.6165413533834586,0.5,0.3813953488372093,0.4702920090924987,f1_macro,0.45394736842105265,0.3813953488372093,0.41566265060240964,0.6911017564232835,0.5,0.8313253012048193,0.0,0.0,"{""ai"": {""f1-score"": 0.9078947368421053, ""precision"": 0.8313253012048193, ""recall"": 1.0, ""support"": 138.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 28.0}}",0.3082706766917293,0.3801232404319068,0.5,0.6165413533834586,0.0,0.0,"{""ai"": {""f1-score"": 0.7627906976744186, ""precision"": 0.6165413533834586, ""recall"": 1.0, ""support"": 82.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 51.0}}"
114,Nico,GPT4.1_V2,Armin,GPT4.1,305,121,105,seconds_ws25_st12,dummy_most_frequent,{},0,0.6776859504132231,0.5,0.4039408866995074,0.5474901274274315,0.7333333333333333,0.5,0.4230769230769231,0.6205128205128204,f1_macro,0.4039408866995074,0.4230769230769231,0.33884297520661155,0.4592582473874735,0.5,0.6776859504132231,0.0,0.0,"{""ai"": {""f1-score"": 0.8078817733990148, ""precision"": 0.6776859504132231, ""recall"": 1.0, ""support"": 82.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 39.0}}",0.36666666666666664,0.5377777777777777,0.5,0.7333333333333333,0.0,0.0,"{""ai"": {""f1-score"": 0.8461538461538461, ""precision"": 0.7333333333333333, ""recall"": 1.0, ""support"": 77.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 28.0}}"
115,Marvin,GPT4.1_V3,Nico,GPT4.1_V2,238,172,121,seconds_ws25_st12,dummy_most_frequent,{},0,0.8023255813953488,0.5,0.44516129032258067,0.7143285821455364,0.6776859504132231,0.5,0.4039408866995074,0.5474901274274315,f1_macro,0.44516129032258067,0.4039408866995074,0.4011627906976744,0.6437263385613845,0.5,0.8023255813953488,0.0,0.0,"{""ai"": {""f1-score"": 0.8903225806451613, ""precision"": 0.8023255813953488, ""recall"": 1.0, ""support"": 138.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 34.0}}",0.33884297520661155,0.4592582473874735,0.5,0.6776859504132231,0.0,0.0,"{""ai"": {""f1-score"": 0.8078817733990148, ""precision"": 0.6776859504132231, ""recall"": 1.0, ""support"": 82.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 39.0}}"
116,Armin,GPT4.1,Hotti,GPT4.1_V2,293,105,133,seconds_ws25_st12,dummy_most_frequent,{},0,0.7333333333333333,0.5,0.4230769230769231,0.6205128205128204,0.6165413533834586,0.5,0.3813953488372093,0.4702920090924987,f1_macro,0.4230769230769231,0.3813953488372093,0.36666666666666664,0.5377777777777777,0.5,0.7333333333333333,0.0,0.0,"{""ai"": {""f1-score"": 0.8461538461538461, ""precision"": 0.7333333333333333, ""recall"": 1.0, ""support"": 77.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 28.0}}",0.3082706766917293,0.3801232404319068,0.5,0.6165413533834586,0.0,0.0,"{""ai"": {""f1-score"": 0.7627906976744186, ""precision"": 0.6165413533834586, ""recall"": 1.0, ""support"": 82.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 51.0}}"
117,Nico,GPT4.1,Hotti,GPT4.1_V2,282,116,133,seconds_ws25_st12,dummy_most_frequent,{},0,0.6637931034482759,0.5,0.39896373056994816,0.5296587457566553,0.6165413533834586,0.5,0.3813953488372093,0.4702920090924987,f1_macro,0.39896373056994816,0.3813953488372093,0.33189655172413796,0.4406212841854935,0.5,0.6637931034482759,0.0,0.0,"{""ai"": {""f1-score"": 0.7979274611398963, ""precision"": 0.6637931034482759, ""recall"": 1.0, ""support"": 77.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 39.0}}",0.3082706766917293,0.3801232404319068,0.5,0.6165413533834586,0.0,0.0,"{""ai"": {""f1-score"": 0.7627906976744186, ""precision"": 0.6165413533834586, ""recall"": 1.0, ""support"": 82.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 51.0}}"
118,Marvin,GPT5,Hotti,GPT4.1_V2,282,116,133,seconds_ws25_st12,dummy_most_frequent,{},0,0.7068965517241379,0.5,0.41414141414141414,0.5855102751654475,0.6165413533834586,0.5,0.3813953488372093,0.4702920090924987,f1_macro,0.41414141414141414,0.3813953488372093,0.35344827586206895,0.4997027348394768,0.5,0.7068965517241379,0.0,0.0,"{""ai"": {""f1-score"": 0.8282828282828283, ""precision"": 0.7068965517241379, ""recall"": 1.0, ""support"": 82.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 34.0}}",0.3082706766917293,0.3801232404319068,0.5,0.6165413533834586,0.0,0.0,"{""ai"": {""f1-score"": 0.7627906976744186, ""precision"": 0.6165413533834586, ""recall"": 1.0, ""support"": 82.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 51.0}}"
119,Nico,GPT5,Hotti,GPT4.1,282,121,128,seconds_ws25_st12,dummy_most_frequent,{},0,0.6776859504132231,0.5,0.4039408866995074,0.5474901274274315,0.6015625,0.5,0.375609756097561,0.45190548780487805,f1_macro,0.4039408866995074,0.375609756097561,0.33884297520661155,0.4592582473874735,0.5,0.6776859504132231,0.0,0.0,"{""ai"": {""f1-score"": 0.8078817733990148, ""precision"": 0.6776859504132231, ""recall"": 1.0, ""support"": 82.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 39.0}}",0.30078125,0.36187744140625,0.5,0.6015625,0.0,0.0,"{""ai"": {""f1-score"": 0.751219512195122, ""precision"": 0.6015625, ""recall"": 1.0, ""support"": 77.0}, ""human"": {""f1-score"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 51.0}}"
